Date,Max,Min,Average,Precipitation
2/11/1948,83,77,80,T
2/12/1948,83,75,79,0
2/13/1948,83,74,78.5,0.26
2/14/1948,83,73,78,0.05
2/15/1948,83,75,79,0
2/16/1948,87,76,81.5,T
2/17/1948,85,75,80,T
2/18/1948,84,75,79.5,T
2/19/1948,84,74,79,T
2/20/1948,83,75,79,0
2/21/1948,84,74,79,0
2/22/1948,85,75,80,0
2/23/1948,85,74,79.5,0.03
2/24/1948,86,76,81,0
2/25/1948,86,76,81,0.06
2/26/1948,86,75,80.5,0.01
2/27/1948,86,76,81,0
2/28/1948,86,76,81,0.09
2/29/1948,84,75,79.5,0.22
3/1/1948,86,76,81,0.04
3/2/1948,86,76,81,T
3/3/1948,84,75,79.5,0.05
3/4/1948,86,76,81,0.1
3/5/1948,85,76,80.5,T
3/6/1948,86,76,81,T
3/7/1948,85,76,80.5,0.04
3/8/1948,85,76,80.5,0.04
3/9/1948,84,75,79.5,0
3/10/1948,83,75,79,0
3/11/1948,85,75,80,0.03
3/12/1948,85,75,80,0.02
3/13/1948,85,76,80.5,0.01
3/14/1948,85,76,80.5,0.01
3/15/1948,85,76,80.5,0.02
3/16/1948,86,76,81,0.02
3/17/1948,85,74,79.5,0.03
3/18/1948,85,76,80.5,T
3/19/1948,87,75,81,0
3/20/1948,87,75,81,0
3/21/1948,86,75,80.5,0
3/22/1948,87,75,81,0
3/23/1948,86,76,81,0
3/24/1948,84,78,81,T
3/25/1948,85,74,79.5,T
3/26/1948,86,76,81,T
3/27/1948,86,75,80.5,T
3/28/1948,84,76,80,0.01
3/29/1948,84,76,80,0.09
3/30/1948,84,75,79.5,0.2
3/31/1948,87,74,80.5,0
4/1/1948,86,76,81,0
4/2/1948,85,76,80.5,T
4/3/1948,84,76,80,T
4/4/1948,85,76,80.5,T
4/5/1948,86,76,81,T
4/6/1948,86,75,80.5,0
4/7/1948,86,75,80.5,0
4/8/1948,85,73,79,0
4/9/1948,86,74,80,T
4/10/1948,86,78,82,0
4/11/1948,83,73,78,2.42
4/12/1948,84,75,79.5,0.99
4/13/1948,87,76,81.5,0.26
4/14/1948,85,76,80.5,T
4/15/1948,86,77,81.5,T
4/16/1948,85,76,80.5,0.03
4/17/1948,87,74,80.5,0.64
4/18/1948,86,77,81.5,0
4/19/1948,86,78,82,0.01
4/20/1948,90,77,83.5,T
4/21/1948,86,77,81.5,0.12
4/22/1948,85,76,80.5,0.05
4/23/1948,85,74,79.5,0.43
4/24/1948,87,78,82.5,T
4/25/1948,86,78,82,0.07
4/26/1948,87,77,82,0.02
4/27/1948,86,78,82,T
4/28/1948,86,77,81.5,0.16
4/29/1948,86,76,81,0.09
4/30/1948,89,77,83,0.07
5/1/1948,86,77,81.5,0.16
5/2/1948,85,77,81,0.1
5/3/1948,86,76,81,0.04
5/4/1948,85,77,81,T
5/5/1948,85,76,80.5,0.04
5/6/1948,88,75,81.5,0.17
5/7/1948,85,76,80.5,T
5/8/1948,87,76,81.5,0.13
5/9/1948,85,76,80.5,0
5/10/1948,86,75,80.5,0.05
5/11/1948,85,75,80,0.34
5/12/1948,88,76,82,T
5/13/1948,86,74,80,0
5/14/1948,87,75,81,0
5/15/1948,86,75,80.5,T
5/16/1948,85,78,81.5,0.04
5/17/1948,84,76,80,0.29
5/18/1948,85,78,81.5,0.59
5/19/1948,83,75,79,0.6
5/20/1948,85,76,80.5,T
5/21/1948,87,76,81.5,0.05
5/22/1948,85,78,81.5,0
5/23/1948,86,75,80.5,0
5/24/1948,88,78,83,0.09
5/25/1948,89,77,83,0.03
5/26/1948,85,78,81.5,0.6
5/27/1948,85,78,81.5,0.24
5/28/1948,85,77,81,0.35
5/29/1948,89,77,83,0.02
5/30/1948,86,76,81,0.04
5/31/1948,85,78,81.5,0.41
6/1/1948,86,79,82.5,T
6/2/1948,85,77,81,0.2
6/3/1948,85,78,81.5,0.03
6/4/1948,87,78,82.5,T
6/5/1948,87,78,82.5,0.03
6/6/1948,85,76,80.5,0.12
6/7/1948,85,77,81,1.22
6/8/1948,83,74,78.5,0.67
6/9/1948,83,74,78.5,0.48
6/10/1948,85,74,79.5,0.01
6/11/1948,86,77,81.5,0
6/12/1948,86,79,82.5,0.01
6/13/1948,85,75,80,0.17
6/14/1948,84,78,81,0.34
6/15/1948,87,78,82.5,T
6/16/1948,86,79,82.5,T
6/17/1948,89,77,83,0.52
6/18/1948,88,77,82.5,0.22
6/19/1948,86,80,83,0.07
6/20/1948,84,78,81,0.15
6/21/1948,87,76,81.5,0.23
6/22/1948,86,77,81.5,0.39
6/23/1948,85,74,79.5,0.75
6/24/1948,86,78,82,0.02
6/25/1948,87,77,82,0.04
6/26/1948,82,76,79,0.48
6/27/1948,86,75,80.5,1.03
6/28/1948,86,78,82,0.05
6/29/1948,88,77,82.5,0.09
6/30/1948,85,76,80.5,0.84
7/1/1948,81,75,78,1.36
7/2/1948,80,76,78,0.24
7/3/1948,84,77,80.5,0.03
7/4/1948,87,77,82,T
7/5/1948,85,77,81,T
7/6/1948,87,79,83,T
7/7/1948,87,79,83,0
7/8/1948,86,78,82,0.03
7/9/1948,84,78,81,0.86
7/10/1948,87,78,82.5,0.03
7/11/1948,86,76,81,0
7/12/1948,88,78,83,T
7/13/1948,86,78,82,0
7/14/1948,87,78,82.5,0.03
7/15/1948,86,78,82,0.01
7/16/1948,85,75,80,0.95
7/17/1948,86,77,81.5,0.21
7/18/1948,84,78,81,0.2
7/19/1948,87,78,82.5,0.08
7/20/1948,86,79,82.5,0.05
7/21/1948,88,76,82,0.12
7/22/1948,84,76,80,0.14
7/23/1948,86,78,82,0.03
7/24/1948,87,78,82.5,0.07
7/25/1948,86,76,81,0.07
7/26/1948,85,76,80.5,0.11
7/27/1948,86,77,81.5,T
7/28/1948,86,77,81.5,0.01
7/29/1948,87,78,82.5,0.04
